x,y,value
heavy_pages_ap-southeast-1,20-06-2023T24:00,1147.710605793853
heavy_pages_us-east-1,20-06-2023T06:00,8781.501211730001
heavy_pages_us-east-1,20-06-2023T12:00,742.3638524655289
heavy_pages_us-east-1,20-06-2023T24:00,4619.08838942557
heavy_pages_eu-west-1,20-06-2023T06:00,4290.4891935986025
heavy_pages_eu-west-1,20-06-2023T12:00,7523.218805429644
heavy_pages_eu-west-1,20-06-2023T18:00,4435.0079379692315
heavy_pages_eu-west-1,20-06-2023T24:00,7633.752563622458
simple_vercel_ap-southeast-1,20-06-2023T06:00,2209.334621986296
simple_vercel_ap-southeast-1,20-06-2023T12:00,2923.4230794224013
simple_vercel_ap-southeast-1,20-06-2023T18:00,8127.208828619562
simple_vercel_ap-southeast-1,20-06-2023T24:00,1130.5541350041835
simple_vercel_us-east-1,20-06-2023T06:00,5732.723723586774
simple_vercel_us-east-1,20-06-2023T12:00,1553.9745619461933
simple_vercel_us-east-1,20-06-2023T24:00,7044.5736472888575
simple_vercel_eu-west-1,20-06-2023T06:00,4767.294665215537
simple_vercel_eu-west-1,20-06-2023T12:00,4766.892548051175
simple_vercel_eu-west-1,20-06-2023T18:00,7774.31497571441
simple_vercel_eu-west-1,20-06-2023T24:00,8143.857708620264
simple_pages_ap-southeast-1,20-06-2023T06:00,7123.469810192696
simple_pages_ap-southeast-1,20-06-2023T12:00,339.14090495115846
simple_pages_ap-southeast-1,20-06-2023T18:00,7954.705478441705
simple_pages_ap-southeast-1,20-06-2023T24:00,2338.7341036890057
simple_pages_us-east-1,20-06-2023T06:00,8477.197877632982
simple_pages_us-east-1,20-06-2023T12:00,1827.8902443509864
simple_pages_us-east-1,20-06-2023T24:00,7966.290287635281
simple_pages_eu-west-1,20-06-2023T06:00,2004.8125931871116
simple_pages_eu-west-1,20-06-2023T12:00,642.5846789429431
simple_pages_eu-west-1,20-06-2023T18:00,3599.2527135487885
simple_pages_eu-west-1,20-06-2023T24:00,8919.058011629184
heavy_vercel_ap-southeast-1,21-06-2023T24:00,2094.4724700462207
heavy_vercel_us-east-1,21-06-2023T24:00,3558.2647127802757
heavy_vercel_eu-west-1,21-06-2023T24:00,2664.0294253885213
heavy_pages_ap-southeast-1,21-06-2023T24:00,1393.6214593251148
heavy_pages_us-east-1,21-06-2023T24:00,8029.507905409851
heavy_pages_eu-west-1,21-06-2023T24:00,8661.283724669036
simple_vercel_ap-southeast-1,21-06-2023T24:00,3504.63020484697
simple_vercel_us-east-1,21-06-2023T24:00,8740.858594921265
simple_vercel_eu-west-1,21-06-2023T24:00,6336.639100086447
simple_pages_ap-southeast-1,21-06-2023T24:00,7835.28446151961
simple_pages_us-east-1,21-06-2023T24:00,8490.593719048877
simple_pages_eu-west-1,21-06-2023T24:00,7567.195374629736
